Valutazione dell'efficienza del codificatore aritmetico al variare del numero N di bit emessi e della probabilita' P che un simbolo assuma valore 0.

RATE DI CODIFICA (le colonne sono il numero di bit emessi, le righe sono la probabilita' che un simbolo sia 0)
	 8	 16	 32	 64	 128	 256	 512	 1024	 2048	 4096	 8192	 16384	 32768	 65536
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1	|0.6250	|0.3750	|0.2188	|0.1250	|0.0703	|0.0391	|0.0215	|0.0215	|0.0415	|0.0701	|0.0747	|0.0775	|0.0775	|0.0789	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2	|1.0000	|0.6250	|0.3750	|0.2812	|0.1641	|0.1211	|0.0684	|0.0605	|0.0806	|0.1255	|0.1359	|0.1432	|0.1376	|0.1393	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5	|1.1250	|0.7500	|0.4688	|0.4219	|0.3203	|0.2266	|0.2422	|0.2275	|0.2441	|0.2825	|0.2861	|0.2969	|0.2885	|0.2899	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10	|1.1250	|0.7500	|0.4688	|0.4688	|0.4375	|0.3750	|0.4355	|0.4092	|0.4282	|0.4573	|0.4664	|0.4758	|0.4706	|0.4692	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30	|1.3750	|1.1875	|0.9688	|0.8750	|0.8984	|0.8828	|0.8906	|0.8701	|0.8877	|0.8889	|0.8762	|0.8824	|0.8808	|0.8817	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50	|1.1250	|1.1250	|1.0625	|1.0625	|1.0312	|1.0195	|1.0117	|1.0059	|1.0029	|1.0015	|1.0010	|1.0004	|1.0002	|1.0001	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70	|1.1250	|0.9375	|0.8750	|0.9219	|0.9688	|0.9375	|0.9004	|0.9023	|0.8809	|0.8689	|0.8816	|0.8798	|0.8790	|0.8801	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90	|0.6250	|0.6250	|0.3750	|0.4688	|0.5156	|0.5312	|0.4980	|0.4961	|0.4668	|0.4541	|0.4586	|0.4659	|0.4636	|0.4669	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95	|0.6250	|0.3750	|0.2188	|0.3594	|0.3516	|0.3633	|0.3359	|0.3096	|0.2725	|0.2729	|0.2767	|0.2788	|0.2787	|0.2852	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98	|0.6250	|0.3750	|0.2188	|0.2188	|0.1641	|0.1680	|0.1738	|0.1631	|0.1401	|0.1340	|0.1302	|0.1304	|0.1313	|0.1365	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99	|0.6250	|0.3750	|0.2188	|0.1250	|0.1250	|0.0703	|0.0820	|0.0742	|0.0635	|0.0684	|0.0671	|0.0717	|0.0726	|0.0789	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|

ENTROPIA TEORICA DELLA SORGENTE
	 8	 16	 32	 64	 128	 256	 512	 1024	 2048	 4096	 8192	 16384	 32768	 65536
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|0.8813	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|0.2864	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|0.1414	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|

DIFFERENZA TRA IL RATE DI CODIFICA E L'ENTROPIA TEORICA
	 8	 16	 32	 64	 128	 256	 512	 1024	 2048	 4096	 8192	 16384	 32768	 65536
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1	|0.5442	|0.2942	|0.1380	|0.0442	|-0.010	|-0.042	|-0.059	|-0.059	|-0.039	|-0.011	|-0.006	|-0.003	|-0.003	|-0.002	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2	|0.8586	|0.4836	|0.2336	|0.1398	|0.0226	|-0.020	|-0.073	|-0.081	|-0.061	|-0.016	|-0.006	|0.0017	|-0.004	|-0.002	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5	|0.8386	|0.4636	|0.1824	|0.1355	|0.0339	|-0.060	|-0.044	|-0.059	|-0.042	|-0.004	|-0.000	|0.0105	|0.0021	|0.0035	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10	|0.6560	|0.2810	|-0.000	|-0.000	|-0.031	|-0.094	|-0.033	|-0.060	|-0.041	|-0.012	|-0.003	|0.0068	|0.0016	|0.0002	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30	|0.4937	|0.3062	|0.0875	|-0.006	|0.0171	|0.0015	|0.0093	|-0.011	|0.0064	|0.0076	|-0.005	|0.0011	|-0.000	|0.0004	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50	|0.1250	|0.1250	|0.0625	|0.0625	|0.0312	|0.0195	|0.0117	|0.0059	|0.0029	|0.0015	|0.0010	|0.0004	|0.0002	|0.0001	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70	|0.2437	|0.0562	|-0.006	|0.0406	|0.0875	|0.0562	|0.0191	|0.0211	|-0.000	|-0.012	|0.0003	|-0.001	|-0.002	|-0.001	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90	|0.1560	|0.1560	|-0.094	|-0.000	|0.0466	|0.0623	|0.0291	|0.0271	|-0.002	|-0.015	|-0.010	|-0.003	|-0.005	|-0.002	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
